line,lemmas
"Этическое поведение человека должно основываться на сочувствии, образовании, и общественных связях. Никакой религиозной основы для этого не требуется.
",этический поведение человек должно основываться сочувствие образование общественный связь никакой религиозный основа это требоваться
"Учёный всё равно что мимоза, когда он сам сделал ошибку, и рычащий лев — когда обнаруживает ошибку у других.
",ученый равно мимоза сделать ошибка рычать лев  —  обнаруживать ошибка
"Особенно важным я считаю совместное использование различных способов постижения истины. Под этим я понимаю, что наши моральные наклонности и вкусы, наше чувство прекрасного и религиозные инстинкты вносят свой вклад, помогая нашей мыслительной способности прийти к ее наивысшим достижениям.
",особенно важный считать совместный использование различный способ постижение истина это понимать наш моральный наклонность вкус наш чувство прекрасный религиозный инстинкт вносить свой вклад помогать наш мыслительный способность приходить высокий достижение
"Брак — это безуспешная попытка превратить случайный эпизод в нечто долговременное.
",брак  —  это безуспешный попытка превращать случайный эпизод нечто долговременный
"Был этот мир извечной тьмой окутан
",мир извечный тьма окутывать
"Вечная загадка мира — это его познаваемость. …Сам факт этой познаваемости представляется чудом.
",вечный загадка мир  —  это познаваемость … факт познаваемость представляться чудо
"...Всякий, кто серьёзно занимается наукой, приходит к осознанию того, что в законах природы проявляется Дух, который намного выше человеческого, — Дух, пред лицом которого мы с нашими ограниченными силами должны ощущать собственную немощь. В этом смысле научные поиски приводят к религиозному чувству особого рода, которое действительно во многом отличается от религиозности более наивной.
","... всякий серьезно заниматься наука приходить осознание закон природа проявляться дух который намного высокий человеческий , —  дух пред лицо который наш ограниченный сила должный ощущать собственный немощь смысл научный поиск приводить религиозный чувство особый род который действительно многое отличаться религиозность наивный"
"Высшая музыкальность в области мысли. 
",высокий музыкальность область мысль
"Высшей задачей физика является поиск таких в высшей степени универсальных законов… из которых с помощью чистой дедукции можно получить картину мира. Не существует логического пути, ведущего к таким… законам. Они могут быть получены только при помощи интуиции, основанной на феномене, схожем с интеллектуальной любовью («Einfühlung») к объектам опыта.
",высокий задача физика являться поиск высокий степень универсальный закон … который помощь чистый дедукция получать картина мир существовать логический путь ведущий … закон мочь получать помощь интуиция основывать феномен схожий интеллектуальный любовь  (« einfühlung »)  объект опыт
"Гениальные мысли приходят в голову так редко, что их нетрудно запомнить.
",гениальный мысль приходить голова редко нетрудно запоминать
"Господь Бог изощрён, но не злонамерен.
",господь бог изощренный злонамеренный
"Бог хитёр, но не злонамерен.
",бог хитрый злонамеренный
"Господь Бог искушён, но не злобен.
",господь бог искушать злобный
"Может быть, Господь всё-таки злонамерен.
",мочь господь все-таки злонамеренный
"Единственное, чему научила меня моя долгая жизнь: что вся наша наука перед лицом реальности выглядит примитивно и по-детски наивно — и всё же это самое ценное, что у нас есть.
",единственный научать долгий жизнь весь наш наука лицо реальность выглядеть примитивно по-детски наивно  —  это самый ценный
"Здравый смысл — это сумма предубеждений, приобретённых до восемнадцатилетнего возраста.
",здравый смысл  —  это сумма предубеждение приобретать восемнадцатилетний возраст
"Идеалами, освещавшими мой путь и сообщавшими мне смелость и мужество, были добро, красота и истина.
",идеал освещать путь сообщать смелость мужество добро красота истина
"Невозможно, читая Евангелие, не почувствовать реальное присутствие Иисуса. Его личность дышит в каждом слове. Никакой миф не обладает столь мощной жизненной силой.
",невозможно читать евангелие почувствовать реальный присутствие иисус личность дышать каждый слово никакой миф обладать столь мощный жизненный сила
"При такой гармонии в космосе, которую я, со своим ограниченным человеческим разумом, способен осознать, есть всё же люди, которые говорят, что нет Бога. Но что действительно гневит меня, так это то, что они цитируют меня в поддержку таких взглядов.
",гармония космос который свой ограниченный человеческий разум способный осознавать человек который говорить бог действительно гневить это цитировать поддержка взгляд
"Даже хотя сферы религии и науки сами по себе ясно разграничены, между ними существует сильная взаимосвязь и взаимозависимость. Хотя религия может служить тем, что определяет цели, она тем не менее научилась у науки, в широком смысле, какие средства приведут к достижению целей, которые она наметила. Но наука может быть создана только теми, кто насквозь пропитан стремлением к истине и пониманию. Но источник этого чувства берёт начало из области религии. Оттуда же — вера в возможность того, что правила этого мира рациональны, то есть постижимы для разума. Я не могу представить настоящего учёного без крепкой веры в это. Образно ситуацию можно описать так: наука без религии — хрома, а религия без науки — слепа.
",хотя сфера религия наука ясно разграничивать существовать сильный взаимосвязь взаимозависимость хотя религия мочь служить определять цель менее научаться наука широкий смысл средство приводить достижение цель который намечать наука мочь создавать насквозь пропитывать стремление истина понимание источник чувство брать начало область религия оттуда  —  вера возможность правило мир рациональный постижимый разум мочь представлять настоящий ученый крепкий вера это образно ситуация описывать наука религия  —  хром религия наука  —  слепой
"Национализм — детская болезнь. Это корь человечества.
",национализм  —  детский болезнь это корь человечество
"Наши математические затруднения Бога не беспокоят. Он интегрирует эмпирически.
",наш математический затруднение бог беспокоить интегрировать эмпирически
"Перед Богом мы все одинаково мудры — или одинаково глупы.
",бог весь одинаково мудрый  —  одинаково глупый
"Поскольку нам, учёным, уготована трагическая участь – ещё более повышать чудовищную эффективность средств уничтожения, наш самый торжественный и благородный долг состоит в том, чтобы всеми силами воспрепятствовать использованию этого оружия для тех жестоких целей, для которых оно было изобретено. 
",поскольку ученый уготовать трагический участь  –  повышать чудовищный эффективность средство уничтожение наш самый торжественный благородный долг состоять весь сила воспрепятствовать использование оружие жестокий цель который оно изобретать
"Самое непостижимое в этом мире — это то, что он постижим.
",самый непостижимый мир  —  это постижимый
"Совершенные средства при неясных целях — характерный признак нашего времени. 	
",совершенный средство неясный цель  —  характерный признак наш время
"Сообщения о моей религиозности являются чистейшей ложью. Ложью, которая настырно повторяется! Я не верю в персонализированного Бога. Своё отношение к богу я выражал ясно и никогда не отказывался от своих слов. Если же что-то из моих высказываний может показаться кому-то религиозными, то это, вероятно, — моё безграничное восхищение структурой мироздания, насколько наша наука может её постичь. 
","сообщение религиозность являться чистый ложь ложь который настырно повторяться верить персонализировать бог свой отношение бог выражать ясно отказываться свой слово что-то высказывание мочь показываться кто-то религиозный это вероятно , —  безграничный восхищение структура мироздание насколько наш наука мочь постигать"
"Способность воспринимать то непостижимое для нашего разума, что скрыто под непосредственными переживаниями, чьи красота и совершенство доходят до нас лишь в виде отражённого слабого отзвука, — это и есть религиозность. В этом смысле я религиозен». В этом смысле я тоже религиозен, с той поправкой, что «непостижимое» не означает «закрытое для постижения.
","способность воспринимать непостижимый наш разум скрывать непосредственный переживание чей красота совершенство доходить лишь вид отраженный слабый отзвук , —  это религиозность смысл религиозный » смысл религиозный поправка  « непостижимый »  означать  « закрытый постижение"
"Тот, кто довольно марширует под музыку в строю, уже заслужил мое презрение. Мозгом он был наделен по ошибке, ему вполне было бы достаточно и спинного мозга. С этим позором цивилизации должно быть покончено. Героизм по команде, бессмысленная жестокость и омерзительная бессмысленность, называющаяся патриотизмом — как сильно я ненавижу все это, какой низкой и подлой является война. Я предпочел бы быть разорванным на куски, чем быть частью этого грязного действа. Я убежден, что убийство под предлогом войны не перестает быть убийством.
",довольно маршировать музыка строй заслуживать презрение мозг наделять ошибка вполне достаточно спинной мозг позор цивилизация должно покончить героизм команда бессмысленный жестокость омерзительный бессмысленность называться патриотизм  —  сильно ненавидеть весь это низкий подлый являться война предпочитать разрывать кусок часть грязный действо убежденный убийство предлог война переставать убийство
"Человек — это часть целого, которое мы называем Вселенной, часть, ограниченная во времени и в пространстве. Он ощущает себя, свои мысли и чувства как нечто отдельное от всего остального мира, что является своего рода оптическим обманом. Эта иллюзия стала темницей для нас, ограничивающей нас миром собственных желаний и привязанностью к узкому кругу близких нам людей. Наша задача — освободиться из этой тюрьмы, расширив сферу своего участия до всякого живого существа, до целого мира, во всем его великолепии. Никто не сможет выполнить такую задачу до конца, но уже сами попытки достичь эту цель являются частью освобождения и основанием для внутренней уверенности.
",человек  —  это часть целый который называть вселенная часть ограниченный время пространство ощущать свой мысль чувство нечто отдельный весь остальной мир являться свой род оптический обман иллюзия становиться темница ограничивать мир собственный желание привязанность узкий круг близкий человек наш задача  —  освобождаться тюрьма расширять сфера свой участие всякий живой существо целый мир великолепие никто смочь выполнять задача конец попытка достигать цель являться часть освобождение основание внутренний уверенность
"Это очень просто, мои дорогие: потому что политика гораздо сложнее, чем физика.
",это очень просто дорогой политика гораздо сложный физика
"Я научился смотреть на смерть как на старый долг, который рано или поздно надо заплатить. 
",научаться смотреть смерть старый долг который рано поздно заплатить
"Я не знаю, каким оружием будет вестись Третья мировая война, но в Четвёртой будут использоваться камни!
",знать оружие вестись третий мировой война четвертый использоваться камень
"Я не пытаюсь вообразить Бога как личность; мне достаточно изумительной структуры мироздания, насколько наши несовершенные органы чувств могут её воспринять.
",пытаться воображать бог личность достаточно изумительный структура мироздание насколько наш несовершенный орган чувство мочь воспринимать
"Я никогда не приписывал Природе никакой цели, преднамеренного стремления или чего-либо, чему можно дать антропоморфическое толкование. Природа — величественное здание, которое мы в состоянии постичь очень неполно и которое возбуждает в душе мыслящего человека чувство скромного смирения. Это поистине благоговейное чувство с мистицизмом ничего общего не имеет.
",приписывать природа никакой цель преднамеренный стремление что-либо давать антропоморфический толкование природа  —  величественный здание который состояние постигать очень неполно который возбуждать душа мыслящий человек чувство скромный смирение это поистине благоговейный чувство мистицизм ничто общий иметь
"Я действительно считаю, что чрезмерный акцент на сугубо интеллектуальную позицию в нашем образовании, часто целиком направленному на практику и факты, непосредственно привёл к обесцениванию этических ценностей. Я не так много думаю об опасностях, которые технический прогресс непосредственно предъявляет человечеству, такими как удушение совместных размышлений «материально-фактической» привычкой мыслить, которая пролегла убийственным морозом между человеческими взаимоотношениями. <…> Страшная дилемма мировой политической ситуации имеет много общего с этим греховным упущением со стороны нашей цивилизации. Без «этической культуры» нет никакого спасения для человечества.",действительно считать чрезмерный акцент сугубо интеллектуальный позиция наш образование часто целиком направлять практика факт непосредственно приводить обесценивание этический ценность думать опасность который технический прогресс непосредственно предъявлять человечество удушение совместный размышление  « материально фактический »  привычка мыслить который пролегать убийственный мороз человеческий взаимоотношение … страшный дилемма мировой политический ситуация иметь общий греховный упущение сторона наш цивилизация  « этический культура »  никакой спасение человечество
